account_number,sub_account_number,account_description,account_type,category_name,category_abbreviation
432,400,COGS-PHONE,A,MISCELLANEOUS CHART,MISC
432,500,COGS-OTHER,A,MISCELLANEOUS CHART,MISC
432,600,COGS-FREIGHT,A,MISCELLANEOUS CHART,MISC
432,700,COGS-HALF.COM,A,MISCELLANEOUS CHART,MISC
432,800,COGS-SELLER CENTRAL,A,MISCELLANEOUS CHART,MISC
432,850,COGS-FREIGHT,A,MISCELLANEOUS CHART,MISC
432,900,COGS-APPLIED LABOR,A,MISCELLANEOUS CHART,MISC
432,950,COGS-INTERCOMPANY,A,MISCELLANEOUS CHART,MISC
432,1,COGS INV-PEARL MOON MOHAIR,A,MISCELLANEOUS CHART,MISC
432,1000,COGS-MATERIALS DTECH,A,MISCELLANEOUS CHART,MISC
432,2,COGS BABY MOHAIR,A,MISCELLANEOUS CHART,MISC
432,2000,COGS-SERVERS & INTERNET,A,MISCELLANEOUS CHART,MISC
432,2100,COGS-DTECH,A,MISCELLANEOUS CHART,MISC
432,2200,COGS-DIRECT-LABOR,A,MISCELLANEOUS CHART,MISC
432,2300,COGS-DT,A,MISCELLANEOUS CHART,MISC
432,2400,COGS-MT-DT,A,MISCELLANEOUS CHART,MISC
432,3000,COGS-DOMAIN NAMES,A,MISCELLANEOUS CHART,MISC
432,4000,COGS-PHONE LINES,A,MISCELLANEOUS CHART,MISC
432,5000,COGS-DESERT TACTICAL MUNITIONS,A,MISCELLANEOUS CHART,MISC
432,8500,COGS-MATER DT,A,MISCELLANEOUS CHART,MISC
434,,COGS-LABOR,A,MISCELLANEOUS CHART,MISC
